restaurant_id,name,city,area,cuisine,rating,is_pure_veg,source,avg_delivery_time,avg_price_for_two
34245,District 7 Restro Cafe,Kochi,Vyttila,"Continental, Chinese",4.3,False,swiggy,,400.0
34246,Brindhavan Pure Veg Restaurant,Kochi,Thrippunithura,"Indian, Chinese",4.3,True,swiggy,,200.0
34247,Cafe New York - Gymer's Kitchen,Jalandhar,,"Healthy Food, Fast Food, Salad, Beverages",4.3,,zomato,31 min,300.0
34248,The Ghanshyam Amritsar Mithaiwale,Jalandhar,,"Mithai, Street Food",4.3,,zomato,16 min,300.0
34249,Grameen Kulfi,Palakollu,Bhimavaram west,"Ice Cream, Desserts",4.3,True,swiggy,,120.0
34250,Roasters Fried Chicken,Palakollu,Somavaram,"European, Italian",4.3,False,swiggy,,250.0
34251,Rang De Basanti Dhaba - Diner,Guwahati,GS Road,"North Indian, Kebabs",4.3,False,swiggy,,350.0
34252,Madhav Fast Food,Bhilai,Sector 10 Market,"Chinese, Mughlai",4.3,False,swiggy,,150.0
34253,Kailash Parbat,Bhilai,Durg Bhilai,"North Indian, Street Food",4.3,True,swiggy,,300.0
34254,Malnad 99 Variety Dosa Corner,Tumakuru,Kotitopu,South Indian,4.3,True,swiggy,,250.0
34255,Classic Beeda Stall,Tumakuru,Kotitopu,Paan,4.3,True,swiggy,,80.0
34256,Tandoori Shawarma & Kathi Rolls,Bhilai,Junwani Road,"Rolls & Wraps, Afghani",4.3,False,swiggy,,200.0
34257,Ibaco,Palakollu,Somavaram,Ice Cream,4.3,True,swiggy,,300.0
34258,Hotel Raj Golden & Restaurant,Palampur,Palampur Locality,"Indian, Snacks",4.3,False,swiggy,,250.0
34259,Bhaiya Ji'S Biryani,Bhilai,Maharaja Chowk,"Mughlai, Kebabs",4.3,False,swiggy,,300.0
34260,GetAWay - Ice Creams & Desserts,Patna,,"Ice Cream, Healthy Food, Desserts, Bakery",4.3,,zomato,26 min,100.0
34261,New Gee Bee Hotel,Kochi,Angamaly,"North Indian, South Indian",4.3,False,swiggy,,200.0
34262,Chettinad Spices,Kochi,Chettinad Spices,"Indian, South Indian",4.3,False,swiggy,,299.0
34263,Sh. Narayan Dass Ji Bare Wale (Football chowk),Jalandhar,,Street Food,4.3,,zomato,22 min,100.0
34264,Chick Chick,Jalandhar,,"North Indian, Chinese",4.3,,zomato,20 min,200.0
34265,Quality Airport Hotels,Kochi,Angamali,Biryani,4.3,False,swiggy,,200.0
34266,Prasad Hotel,Tumakuru,Townhall circle,"South Indian, Indian",4.3,True,swiggy,,100.0
34267,Chennai Dosa Plaza,Patna,,"South Indian, Chinese, Ice Cream, Beverages, Sichuan",4.3,,zomato,29 min,100.0
34268,Pappu Dhaba,Patna,,"North Indian, Mughlai",4.3,,zomato,41 min,50.0
34269,Meal For You -The Healthy Food Adda,Bhilai,Nehru Nagar,Healthy Food,4.3,False,swiggy,,600.0
34270,Mehar Kitchen,Bhilai,Nehru Nagar West,"Mughlai, Kebabs",4.3,False,swiggy,,250.0
34271,Hotel Sri Anna Vaasal,Palani,Palani Locality,"Chinese, North Indian",4.3,False,swiggy,,250.0
34272,Sri Nangli Sweets,Palampur,Palampur Locality,Indian,4.3,True,swiggy,,250.0
34273,Sky Lodge Restro Bar And Pub,Tumakuru,Bh road,"Chinese, Indian",4.3,False,swiggy,,200.0
34274,Dakshamuthan Icecream Parlour,Palani,Palani Locality,"Desserts, Ice Cream",4.3,True,swiggy,,200.0
34275,New Allwin Veg Hotel,Palani,Palani Locality,South Indian,4.3,True,swiggy,,250.0
34276,Classic Rider Cafe Palani,Palani,Palani,"Snacks, Indian",4.3,False,swiggy,,249.0
34277,Ideal Hotel,Palani,Palani Locality,"Chinese, North Indian",4.3,False,swiggy,,250.0
34278,House Of Madira,Guwahati,Ganeshguri,"North Indian, Italian",4.3,False,swiggy,,420.0
34279,Tasty Food Haat Restaurant,Guwahati,Beltola,"North Indian, Chinese",4.3,False,swiggy,,400.0
34280,Yo Burger,Guwahati,Adabari,"Burgers, Fast Food",4.3,False,swiggy,,500.0
34281,Triangle Kitchen,Guwahati,Bharalumukh,"North Indian, Street Food",4.3,True,swiggy,,350.0
34282,GM Gopal Maharaj,Guwahati,Fancy Bazaar,"Indian, Chinese",4.3,True,swiggy,,350.0
34283,Old Town Pizza,Tumakuru,Kotitopu,"Pizzas, Italian",4.3,True,swiggy,,200.0
34284,Hotel Nalan Sudandhira Bhavan,Palani,Palani Locality,"North Indian, South Indian",4.3,True,swiggy,,200.0
34285,La Milano Pizzeria,Palanpur,Palanpur Town,"Pizzas, Pastas",4.3,True,swiggy,,399.0
34286,MMV - Mumbaiya Misal & Vadapav,Palanpur,Palanpur Town,"Maharashtrian, Fast Food",4.3,True,swiggy,,150.0
34287,Mohan Sweets,Patna,,"Mithai, Desserts",4.3,,zomato,41 min,100.0
34288,Veggie India,Bhilai,Civic Centre Bhilai,"North Indian, Chinese",4.3,True,swiggy,,200.0
34289,Orchid Fine Dine Restaurant,Bhilai,GE Road Supela,"Mughlai, Kebabs",4.3,False,swiggy,,450.0
34290,La Pino'Z Pizza,Guwahati,Paltan Bazaar,Pizzas,4.3,False,swiggy,,300.0
34291,Darjeeling Momo,Guwahati,Paltan Bazaar,"North Eastern, Snacks",4.3,True,swiggy,,150.0
34292,Highlander'S Shawarma,Guwahati,Uzan Bazaar,"Lebanese, Fast Food",4.3,False,swiggy,,250.0
34293,Rolls Mania,Guwahati,Zoo Tiniali,Beverages,4.3,False,swiggy,,200.0
34294,Summer Town Resto Cafe,Kochi,Panampilly Nagar,"Fast Food, Italian",4.3,False,swiggy,,200.0
34295,Atmos,Tumakuru,Kunigal road,"Chinese, Indian",4.3,False,swiggy,,300.0
34296,GDS Pizza,Tumakuru,Chatstreet,Pizzas,4.3,True,swiggy,,200.0
34297,Sardarji Da Dhaba,Guwahati,Azara,"North Indian, Biryani",4.3,False,swiggy,,400.0
34298,Puffizza,Palanpur,Palanpur Town,"Pizzas, Italian",4.3,True,swiggy,,275.0
34299,The Meal Box,Palanpur,Palanpur Town,Chaat,4.3,False,swiggy,,200.0
34300,Engineer Eatery,Palanpur,Palanpur Town,"Indian, Chinese",4.3,True,swiggy,,200.0
34301,Bombay Snacks,Palanpur,Palanpur Town,"Fast Food, Pizzas",4.3,True,swiggy,,50.0
34302,Kwality 46 Spice Gallery,Bhilai,Civic Centre Bhilai,"Chinese, Beverages",4.3,True,swiggy,,250.0
34303,Hari Raj Fine Dine,Bhilai,Civic Center,"North Indian, Thalis",4.3,True,swiggy,,250.0
34304,Karavas,Bhilai,Durg Bhilai,"Pizzas, Chinese",4.3,True,swiggy,,300.0
34305,Shri Amma Rasoi,Bhilai,Nehru Nagar,"Indian, North Indian",4.3,False,swiggy,,199.0
34306,Umang Vaishno Bhojan Bhandar,Amritsar,,"North Indian, Burger, Street Food",4.3,,zomato,31 min,100.0
34307,Cafe Pizzeria,Kochi,Kolenchery,"Pizzas, Beverages",4.3,False,swiggy,,300.0
34308,Confucius,Guwahati,Silpukhuri,"Chinese, Continental",4.3,False,swiggy,,400.0
34309,Maa Kali Hotel,Guwahati,Paltan Bazaar,"Thalis, North Indian",4.3,False,swiggy,,250.0
34310,Pawan Dabeli,Guwahati,Bharalumukh,"Gujarati, Indian",4.3,True,swiggy,,200.0
34311,Jutire Akhaj,Guwahati,Beltola,Indian,4.3,False,swiggy,,250.0
34312,Burger Singh (Big Punjabi Burgers),Guwahati,Christian Basti,"Burgers, Snacks",4.3,False,swiggy,,300.0
34313,Madhurisha Family Restaurant,Bhilai,Risali,"Biryani, Mughlai",4.3,False,swiggy,,300.0
34314,Mandoli Restaurant,Bhilai,Durg Bhilai,"Thalis, South Indian",4.3,True,swiggy,,150.0
34315,The 90s Cafe - Chapter 2,Bhilai,Nehru Nagar,"Chinese, Burgers",4.3,True,swiggy,,199.0
34316,Mahalakshmi Sweets,Tumakuru,Kotitopu,Desserts,4.3,True,swiggy,,100.0
34317,Hotel City Point,Palanpur,Palanpur Town,Biryani,4.3,True,swiggy,,350.0
34318,Vaishali Comforts,Tumakuru,Vidya nagar,"Biryani, Chinese",4.3,False,swiggy,,250.0
34319,Cluxi Fried Chicken Restaurant,Tumakuru,Bh road,"American, Fast Food",4.3,False,swiggy,,300.0
34320,Hotel Sudha,Tumakuru,Townhall circle,"North Indian, South Indian",4.3,True,swiggy,,200.0
34321,Mings Chimney,Patna,,"Chinese, Momos, North Indian, Kebab, Biryani",4.3,,zomato,38 min,200.0
34322,Ramdev Khana Khazana,Bhilai,Near Agrasen Chowk,"Thalis, Chinese",4.3,True,swiggy,,150.0
34323,Naadbramha Idli,Palghar,Palghar,"South Indian, Beverages",4.3,False,swiggy,,100.0
34324,The Spice Route,Guwahati,Dispur,"Chinese, Indian",4.3,False,swiggy,,200.0
34325,Urban Rasoi,Guwahati,Beltola,"Indian, Chinese",4.3,False,swiggy,,150.0
34326,WarmOven Cake & Desserts,Guwahati,Silpukhuri,"Bakery, Desserts",4.3,False,swiggy,,200.0
34327,Quick Pick,Guwahati,Uzan Bazaar,"Indian, Chinese",4.3,False,swiggy,,350.0
34328,Paradise,Guwahati,Silpukhuri,"Assamese, Chinese",4.3,False,swiggy,,600.0
34329,Hotel Central Park,Bhilai,GE Road Supela,"Mughlai, North Indian",4.3,False,swiggy,,200.0
